company_id,date,bankruptcy_score
1000001,202101,4
1000001,202102,6
1000001,202103,4
1000001,202104,6
1000001,202105,7
1000001,202106,2
1000001,202107,8
1000001,202108,6
1000001,202109,6
1000001,202110,1
1000001,202111,9
1000001,202112,3
1000001,202201,10
1000001,202202,9
1000001,202203,3
1000001,202204,10
1000001,202205,8
1000001,202206,1
1000001,202207,1
1000001,202208,2
1000001,202209,8
1000001,202210,9
1000001,202211,8
1000001,202212,9
1000001,202301,9
1000001,202302,2
1000001,202303,7
1000001,202304,8
1000001,202305,8
1000001,202306,2
1000001,202307,8
1000001,202308,4
1000001,202309,3
1000001,202310,1
1000001,202311,8
1000001,202312,2
1000001,202401,9
1000001,202402,2
1000001,202403,2
1000001,202404,9
1000001,202405,10
1000001,202406,1
1000001,202407,6
1000001,202408,5
1000001,202409,3
1000001,202410,1
1000001,202411,10
1000001,202412,5
1000001,202501,1
1000001,202502,9
1000001,202503,6
1000001,202504,1
1000001,202505,1
1000001,202506,8
1000001,202507,5
1000001,202508,7
1000001,202509,9
1000001,202510,7
1000002,202101,2
1000002,202102,6
1000002,202103,4
1000002,202104,6
1000002,202105,2
1000002,202106,8
1000002,202107,1
1000002,202108,10
1000002,202109,4
1000002,202110,7
1000002,202111,1
1000002,202112,9
1000002,202201,4
1000002,202202,10
1000002,202203,2
1000002,202204,7
1000002,202205,4
1000002,202206,9
1000002,202207,7
1000002,202208,1
1000002,202209,10
1000002,202210,10
1000002,202211,3
1000002,202212,10
1000002,202301,5
1000002,202302,8
1000002,202303,9
1000002,202304,2
1000002,202305,4
1000002,202306,10
1000002,202307,4
1000002,202308,10
1000002,202309,6
1000002,202310,2
1000002,202311,2
1000002,202312,1
1000002,202401,5
1000002,202402,8
1000002,202403,7
1000002,202404,9
1000002,202405,6
1000002,202406,9
1000002,202407,4
1000002,202408,10
1000002,202409,9
1000002,202410,10
1000002,202411,9
1000002,202412,7
1000002,202501,9
1000002,202502,10
1000002,202503,8
1000002,202504,4
1000002,202505,3
1000002,202506,6
1000002,202507,10
1000002,202508,10
1000002,202509,8
1000002,202510,3
1000003,202101,6
1000003,202102,2
1000003,202103,8
1000003,202104,10
1000003,202105,6
1000003,202106,4
1000003,202107,7
1000003,202108,2
1000003,202109,4
1000003,202110,3
1000003,202111,5
1000003,202112,7
1000003,202201,1
1000003,202202,5
1000003,202203,7
1000003,202204,2
1000003,202205,6
1000003,202206,4
1000003,202207,6
